Title,Area Path,Iteration Path,Repro Steps,System Info,Acceptance Criteria,Priority,Severity,Effort
"Transfer to Self Not Blocked",Work,Work,"1. Navigate to Transfer page
2. Enter your own account number as recipient
3. Enter any amount (e.g., $50)
4. Click Transfer Money button
5. Observe transfer completes successfully","Windows 11, Chrome 120.0, 1920x1080","System should validate recipient account and prevent self-transfers with appropriate error message",Medium,Medium,3
"Negative Transfer Amounts Accepted",Work,Work,"1. Go to Transfer page
2. Enter any valid recipient account number
3. Enter a negative amount (e.g., -50)
4. Submit the transfer
5. Observe balance increases instead of decreases","macOS Ventura, Safari 17.1, MacBook Pro","System should only accept positive amounts and reject negative values with validation error",High,High,2
"Transaction History Wrong Order",Work,Work,"1. Make multiple transfers over time
2. Navigate to Transaction History page
3. Observe transactions are listed oldest-first
4. Newest transactions appear at bottom instead of top","Windows 10, Firefox 119.0, 1366x768","Transactions should display in reverse chronological order (newest first) by default",Low,Medium,2
"Loading Spinner Never Stops on Login",Work,Work,"1. Enter demo credentials (demo@bank.com / demo123)
2. Click Sign In button
3. Wait for successful login
4. Observe loading spinner continues indefinitely
5. Spinner remains visible even after login completes","Android 12, Chrome Mobile 120.0, Samsung Galaxy S21","Loading spinner should disappear immediately after successful login completion",Medium,Medium,1
"Notifications Don't Auto-Dismiss",Work,Work,"1. Perform multiple actions that generate notifications
2. Observe all notifications remain visible
3. Notifications stack up and never disappear automatically
4. Must manually close each notification","iOS 16, Safari Mobile, iPhone 14","Notifications should auto-dismiss after 5 seconds and not accumulate on screen",Medium,Medium,3
"Mobile Layout Breaks on Transfer Form",Work,Work,"1. Resize browser to mobile width (<400px) or use device tools
2. Navigate to Transfer page
3. Scroll to bottom of transfer form
4. Observe button and fee text overlap/clip","Various mobile devices, Chrome/Safari, <400px width","Transfer form should remain fully visible and functional on all mobile screen sizes",Low,Low,5
"Invalid Email Validation",Work,Work,"1. Go to registration page
2. Enter 'test@' in email field (incomplete email)
3. Fill other required fields correctly
4. Submit registration form
5. Form accepts invalid email format","Cross-browser, Windows/Mac/Linux","Email validation should reject incomplete formats and require proper domain structure",Medium,High,2
"Password Requirements Not Enforced",Work,Work,"1. Navigate to registration page
2. Enter weak password like '123' or 'abc'
3. Notice requirements are displayed but not validated
4. Submit form with weak password
5. Account creation succeeds despite weak password","All browsers, All OS","Password validation should enforce 8+ characters with complexity requirements as displayed",High,High,3
"Transaction History Slow Load Without Pagination",Work,Work,"1. Navigate to Transaction History page
2. Observe loading takes exactly 3 seconds every time
3. No pagination controls available for large datasets
4. All transactions load at once regardless of count","All browsers, All OS, Any transaction count","Transaction history should load quickly with pagination for performance optimization",Medium,Medium,5
"Scientific Notation in Transfer Amount",Work,Work,"1. Go to Transfer page
2. Enter '1e2' in the amount field (scientific notation)
3. Submit transfer
4. Observe potential display or calculation inconsistencies
5. Amount may not display properly in history","Chrome/Firefox, Windows/Mac","Amount field should only accept decimal format or properly convert scientific notation",Low,Low,2
"Dashboard Account Cards Not Responsive",Work,Work,"1. Open dashboard on mobile device
2. View account cards section
3. Cards overflow horizontally on small screens
4. Horizontal scrolling required to see all accounts","Mobile browsers, <768px width","Account cards should stack vertically or wrap properly on mobile devices",Medium,Low,3
"Transfer Form Validation Bypassed",Work,Work,"1. Open Transfer page
2. Leave recipient field empty
3. Enter amount and description
4. Use browser dev tools to remove 'required' attribute
5. Submit form bypasses client-side validation","Chrome DevTools, All OS","Server-side validation should catch bypassed client-side validation attempts",High,Critical,5
"Session Timeout Not Handled",Work,Work,"1. Login to application
2. Leave browser idle for extended period
3. Attempt to perform transaction after timeout
4. No session expiry warning or automatic logout
5. User may see unexpected errors","All browsers, Extended idle time","Application should handle session timeout gracefully with warnings and auto-logout",Medium,Medium,8
"Accessibility Issues in Forms",Work,Work,"1. Use screen reader software
2. Navigate through login and registration forms
3. Tab through form fields
4. Observe missing labels and poor focus indicators
5. Form validation errors not announced","NVDA/JAWS screen readers, Windows","All forms should be fully accessible with proper labels, focus management, and error announcements",Medium,Medium,8
"Cross-Site Scripting in Description Field",Work,Work,"1. Go to Transfer page
2. Enter script tag in description field: <script>alert('XSS')</script>
3. Submit transfer
4. View transaction in history
5. Script may execute when viewing transaction details","All browsers, All OS","All user input should be properly sanitized to prevent XSS attacks",High,Critical,3
