Work Item Type,Title,Area Path,Iteration Path,Repro Steps,System Info,Acceptance Criteria,Priority,Severity,Effort
Bug,"Transfer to Self Not Blocked",Work,Work,"1. Navigate to Transfer page<br>2. Enter your own account number as recipient<br>3. Enter any amount (e.g., $50)<br>4. Click Transfer Money button<br>5. Observe transfer completes successfully","Windows 11, Chrome 120.0, 1920x1080","System should validate recipient account and prevent self-transfers with appropriate error message",3,3 - Medium,3
Bug,"Negative Transfer Amounts Accepted",Work,Work,"1. Go to Transfer page<br>2. Enter any valid recipient account number<br>3. Enter a negative amount (e.g., -50)<br>4. Submit the transfer<br>5. Observe balance increases instead of decreases","macOS Ventura, Safari 17.1, MacBook Pro","System should only accept positive amounts and reject negative values with validation error",2,2 - High,2
Bug,"Transaction History Wrong Order",Work,Work,"1. Make multiple transfers over time<br>2. Navigate to Transaction History page<br>3. Observe transactions are listed oldest-first<br>4. Newest transactions appear at bottom instead of top","Windows 10, Firefox 119.0, 1366x768","Transactions should display in reverse chronological order (newest first) by default",3,3 - Medium,2
Bug,"Loading Spinner Never Stops on Login",Work,Work,"1. Enter demo credentials (demo@bank.com / demo123)<br>2. Click Sign In button<br>3. Wait for successful login<br>4. Observe loading spinner continues indefinitely<br>5. Spinner remains visible even after login completes","Android 12, Chrome Mobile 120.0, Samsung Galaxy S21","Loading spinner should disappear immediately after successful login completion",3,3 - Medium,1
Bug,"Notifications Don't Auto-Dismiss",Work,Work,"1. Perform multiple actions that generate notifications<br>2. Observe all notifications remain visible<br>3. Notifications stack up and never disappear automatically<br>4. Must manually close each notification","iOS 16, Safari Mobile, iPhone 14","Notifications should auto-dismiss after 5 seconds and not accumulate on screen",3,3 - Medium,3
Bug,"Mobile Layout Breaks on Transfer Form",Work,Work,"1. Resize browser to mobile width (&lt;400px) or use device tools<br>2. Navigate to Transfer page<br>3. Scroll to bottom of transfer form<br>4. Observe button and fee text overlap/clip","Various mobile devices, Chrome/Safari, &lt;400px width","Transfer form should remain fully visible and functional on all mobile screen sizes",4,4 - Low,5
Bug,"Invalid Email Validation",Work,Work,"1. Go to registration page<br>2. Enter 'test@' in email field (incomplete email)<br>3. Fill other required fields correctly<br>4. Submit registration form<br>5. Form accepts invalid email format","Cross-browser, Windows/Mac/Linux","Email validation should reject incomplete formats and require proper domain structure",2,2 - High,2
Bug,"Password Requirements Not Enforced",Work,Work,"1. Navigate to registration page<br>2. Enter weak password like '123' or 'abc'<br>3. Notice requirements are displayed but not validated<br>4. Submit form with weak password<br>5. Account creation succeeds despite weak password","All browsers, All OS","Password validation should enforce 8+ characters with complexity requirements as displayed",2,2 - High,3
Bug,"Transaction History Slow Load Without Pagination",Work,Work,"1. Navigate to Transaction History page<br>2. Observe loading takes exactly 3 seconds every time<br>3. No pagination controls available for large datasets<br>4. All transactions load at once regardless of count","All browsers, All OS, Any transaction count","Transaction history should load quickly with pagination for performance optimization",3,3 - Medium,5
Bug,"Scientific Notation in Transfer Amount",Work,Work,"1. Go to Transfer page<br>2. Enter '1e2' in the amount field (scientific notation)<br>3. Submit transfer<br>4. Observe potential display or calculation inconsistencies<br>5. Amount may not display properly in history","Chrome/Firefox, Windows/Mac","Amount field should only accept decimal format or properly convert scientific notation",4,4 - Low,2
Bug,"Dashboard Account Cards Not Responsive",Work,Work,"1. Open dashboard on mobile device<br>2. View account cards section<br>3. Cards overflow horizontally on small screens<br>4. Horizontal scrolling required to see all accounts","Mobile browsers, &lt;768px width","Account cards should stack vertically or wrap properly on mobile devices",4,4 - Low,3
Bug,"Transfer Form Validation Bypassed",Work,Work,"1. Open Transfer page<br>2. Leave recipient field empty<br>3. Enter amount and description<br>4. Use browser dev tools to remove 'required' attribute<br>5. Submit form bypasses client-side validation","Chrome DevTools, All OS","Server-side validation should catch bypassed client-side validation attempts",1,1 - Critical,5
Bug,"Session Timeout Not Handled",Work,Work,"1. Login to application<br>2. Leave browser idle for extended period<br>3. Attempt to perform transaction after timeout<br>4. No session expiry warning or automatic logout<br>5. User may see unexpected errors","All browsers, Extended idle time","Application should handle session timeout gracefully with warnings and auto-logout",3,3 - Medium,8
Bug,"Accessibility Issues in Forms",Work,Work,"1. Use screen reader software<br>2. Navigate through login and registration forms<br>3. Tab through form fields<br>4. Observe missing labels and poor focus indicators<br>5. Form validation errors not announced","NVDA/JAWS screen readers, Windows","All forms should be fully accessible with proper labels, focus management, and error announcements",3,3 - Medium,8
Bug,"Cross-Site Scripting in Description Field",Work,Work,"1. Go to Transfer page<br>2. Enter script tag in description field: &lt;script&gt;alert('XSS')&lt;/script&gt;<br>3. Submit transfer<br>4. View transaction in history<br>5. Script may execute when viewing transaction details","All browsers, All OS","All user input should be properly sanitized to prevent XSS attacks",1,1 - Critical,3
